arch,model,lmbda,test_date,bpp,psnr_iq,msssim_iq,psnr_amp,sqnr_amp,msssim_amp,mae_phase,mse_nrcs,enc_time,dec_time,total_kmac_per_px,enc_kmac_per_px,dec_kmac_per_px,ga_kmac_per_px,ha_kmac_per_px,gs_kmac_per_px,hs_kmac_per_px,total_params,energy_1,energy_2,energy_3,energy_4
PACT,g8alpha0.01,0.0625,20260419,0.356858642578125,21.98331782750697,0.7987860051989555,19.226652605870115,6.891787062644958,0.7757787835001946,1.2110353077054024,0.00780652580369042,0.008925199031829834,0.008222603321075439,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,0.24921127603575588,0.20077757148444653,0.12456435017101467,0.04367483348958194
PACT,g8alpha0.01,0.125,20260419,0.759887451171875,26.33392665008755,0.9274962147474289,23.68466702538074,11.06174565267563,0.9118125008344651,0.7763548133671284,0.0027483598669041385,0.008948854207992553,0.008892518997192383,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,1.1772128675580025,0.7643090385235846,0.5038920835889876,0.08122113215178252
PACT,g8alpha0.01,0.25,20260419,1.237408447265625,31.011235861380392,0.9787957231402398,28.33604683281694,15.862621651649475,0.971985828101635,0.4504901215732098,0.0011354974911937461,0.008976107835769654,0.008860159158706665,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,4.481566001921892,2.644447019264102,1.5960346543565394,0.37715780453756453
PACT,g8alpha0.01,0.375,20260419,1.55487109375,33.707821122809015,0.9900584884881973,31.02535573938417,18.82184542274475,0.9860633553862572,0.322009248778224,0.000752676612597952,0.008923922777175903,0.00934518575668335,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,10.54846794784069,5.740479660481214,3.665636674553156,0.6516393793672324
PACT,g8alpha0.01,0.5,20260419,1.77571728515625,35.37671895411119,0.9939114282131195,32.70798479351407,20.816934299468993,0.9912972535490989,0.25462379710376265,0.0006035390767697208,0.008894604921340943,0.009263980627059937,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,19.286131518125533,9.604475289613008,6.0851985241174695,1.2417770569100977
PACT,g8alpha0.01,0.6225,20260419,1.9424521484375,36.49154228210014,0.9956746695637703,33.82328759191593,22.211038611412047,0.9936344985365868,0.2176286202967167,0.0005469957311051985,0.00886622714996338,0.009163655042648315,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,30.85223385429382,14.407746271193027,8.57352322936058,2.0733655960559845
PACT,g8alpha0.01,0.75,20260419,2.1005859375,37.800821146735885,0.9968491294384003,35.15034824095163,23.688943216323853,0.9954773357510567,0.18751997635513545,0.0004178427176984769,0.008913348197937012,0.009449454307556152,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,48.563610432863236,20.775595884263517,13.317334911823274,2.8058195796310903
AHT,lmbda0.0018,0.0018,20260420,0.795332763671875,26.263027286048736,0.9340112456679344,23.571132321341064,11.034292031288148,0.914589400947094,0.7310472143590451,0.0029736802579782306,0.006207067489624024,0.007256470203399658,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,1.3649540155678987,0.9954593559429049,0.7248145349882543,0.41088730305433274
AHT,lmbda0.0035,0.0035,20260420,1.18071630859375,29.67877184677744,0.9744008948206901,27.01981885562026,14.70803382730484,0.9641562802195549,0.4716624539941549,0.0015658103115565609,0.006217833995819092,0.00745476245880127,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,5.656302807748317,3.0133030572608113,1.618914445579052,1.2878196420073509
AHT,lmbda0.0067,0.0067,20260420,1.508412109375,32.1869259379058,0.9878288251757622,29.54933372797748,17.67077260684967,0.9820365681052208,0.34335516031086444,0.0010725840464019711,0.006200484037399292,0.0075424137115478514,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,15.453100979208946,7.1128352612257,3.8410966470837593,3.211033522307873
AHT,lmbda0.013,0.013,20260420,1.81916748046875,33.79853497392851,0.9936039307117462,31.21169323590014,19.8972606048584,0.9891705152988434,0.30602421766519544,0.0008988225420241634,0.006213288784027099,0.007591164112091065,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,50.19872489309311,18.334216549754142,8.539393002152442,7.4461575499475
AHT,lmbda0.025,0.025,20260420,2.094561279296875,34.71743191033793,0.9961374489068985,32.23784597200006,21.546754237174987,0.9925754187107086,0.2599357263594866,0.0007998813917614598,0.006300885200500489,0.007811647891998291,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,134.37234580993652,43.9776577013731,17.72982879078388,23.89502689754963
AHT,lmbda0.0483,0.0483,20260420,2.349029052734375,35.3139425150944,0.9972570927143097,32.900541255716625,22.863386514663695,0.9942923412919045,0.2088752792701125,0.0007607573530071932,0.006279818058013916,0.007971259593963623,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,324.18051296424863,92.32541480207443,40.03796007061005,59.91575152254104
