codec,dataset,date,qp,bpp,mse_iq,psnr_iq,mse_amp,psnr_amp,sqnr_amp,mae_phase,mse_nrcs,encoding_time,decoding_time
JPEG2000,test,2026-03-31,3,2.6658,0.0007,31.5581,0.0013,28.9505,18.5132,0.3916,0.000596,0.536439,0.344256
JPEG2000,test,2026-03-31,4,1.9992,0.002,27.0194,0.0036,24.4939,14.1789,0.6227,0.001618,0.53087,0.230861
JPEG2000,test,2026-03-31,6,1.3315,0.0049,23.0991,0.0088,20.5325,10.1844,0.9571,0.004221,0.530672,0.18669
JPEG2000,test,2026-03-31,15,0.533,0.0145,18.3924,0.0288,15.4003,5.1646,1.5392,0.016798,0.532216,0.132241
HM,test,2026-03-31,27,2.7331,0.0002,36.5114,0.0004,33.5691,23.1869,0.2069,0.000244,10.281162,0.249836
HM,test,2026-03-31,32,2.0455,0.0006,31.9004,0.0013,29.0004,18.6219,0.3373,0.000777,9.799013,0.237238
HM,test,2026-03-31,37,1.403,0.0019,27.1686,0.0037,24.3479,13.9776,0.5578,0.002508,8.921474,0.220978
HM,test,2026-03-31,42,0.7682,0.006,22.1983,0.0118,19.2739,8.9464,0.9966,0.008003,7.327422,0.20544
VTM,test,2026-03-31,27,2.6424,0.0002,37.0876,0.0004,34.1613,23.7336,0.1953,0.000211,357.164426,0.314464
VTM,test,2026-03-31,32,1.9804,0.0006,32.5402,0.0011,29.6434,19.2451,0.3157,0.000635,313.785793,0.286379
VTM,test,2026-03-31,37,1.3783,0.0016,27.9365,0.0031,25.1168,14.718,0.5172,0.001876,273.731624,0.268919
VTM,test,2026-03-31,42,0.7969,0.0049,23.0945,0.0097,20.1169,9.7428,0.9119,0.005821,230.507954,0.259979
