arch,model,dataset,lmbda,test_date,bpp,psnr_iq,msssim_iq,psnr_amp,sqnr_amp,msssim_amp,mae_phase,mse_nrcs,enc_time,dec_time,total_kmac_per_px,enc_kmac_per_px,dec_kmac_per_px,ga_kmac_per_px,ha_kmac_per_px,gs_kmac_per_px,hs_kmac_per_px,total_params,energy_1,energy_2,energy_3,energy_4
sar-pact,g8_alpha0.01,nga,0.0625,20260421,0.3319647501576293,21.969229391795118,0.8003644943237305,19.328778202805307,6.687780380249023,0.7747116088867188,1.239319086074829,0.006962187588214874,2.108579158782959,1.560201644897461,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,0.23569068312644958,0.1877085268497467,0.11604373157024384,0.0407232865691185
sar-pact,g8_alpha0.01,nga,0.125,20260421,0.717542535269546,26.433608694698727,0.9258373975753784,23.834083397537814,10.730242729187012,0.9097798466682434,0.8074946403503418,0.002441834658384323,2.146134853363037,1.6846985816955566,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,1.1068910360336304,0.7100812792778015,0.46843692660331726,0.07649145275354385
sar-pact,g8_alpha0.01,nga,0.25,20260421,1.187514162003468,30.993025858737802,0.9776366353034973,28.40635632728076,15.473099708557129,0.9706747531890869,0.47372308373451233,0.0010053960140794516,2.123102903366089,1.7929203510284424,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,4.229944705963135,2.477633237838745,1.49359130859375,0.35262614488601685
sar-pact,g8_alpha0.01,nga,0.375,20260421,1.5036735005517023,33.51178492147787,0.9893571138381958,30.961638210759162,18.416561126708984,0.9852209687232971,0.3407886326313019,0.0006639832863584161,2.1856515407562256,1.825209140777588,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,9.95207691192627,5.397040367126465,3.4714179039001465,0.607795774936676
sar-pact,g8_alpha0.01,nga,0.5,20260421,1.725927672801072,34.99242481747681,0.993480920791626,32.498809523765836,20.436933517456055,0.9907581210136414,0.2688940465450287,0.0005317399045452476,2.134154796600342,1.8577029705047607,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,18.25240135192871,9.104151725769043,5.823594093322754,1.1699228286743164
sar-pact,g8_alpha0.01,nga,0.6225,20260421,1.8914106833228248,35.91388707861518,0.995352029800415,33.44677399554122,21.83787727355957,0.9932328462600708,0.23016656935214996,0.00048354268074035645,2.131150960922241,1.9034385681152344,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,29.08669662475586,13.643856048583984,8.171605110168457,1.9561975002288818
sar-pact,g8_alpha0.01,nga,0.75,20260421,2.047397762649748,37.16462847296642,0.9966121912002563,34.73321920468478,23.325176239013672,0.9951697587966919,0.19824345409870148,0.0003658939676824957,2.1287147998809814,1.9216690063476562,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,45.89452362060547,19.693788528442383,12.831501960754395,2.6290409564971924
aht,benchmarking_sar_mods,nga,0.0018,20260421,0.7524420219892812,26.30365377346044,0.9322674870491028,23.701888404594445,10.704883575439453,0.9126340746879578,0.7625339031219482,0.002604343928396702,1.6905052661895752,1.4179060459136963,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,1.2678087949752808,0.9299699664115906,0.6724898815155029,0.38146933913230896
aht,benchmarking_sar_mods,nga,0.0035,20260421,1.1363991813130516,29.70202218389553,0.9732003211975098,27.174354019291474,14.39419937133789,0.9630612134933472,0.4915846288204193,0.0013168168952688575,1.6957356929779053,1.489603042602539,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,5.297508716583252,2.7980949878692627,1.5144085884094238,1.2133444547653198
aht,benchmarking_sar_mods,nga,0.0067,20260421,1.462835208464691,32.12662467324196,0.9872528314590454,29.698628458844713,17.43063735961914,0.9815365672111511,0.3532771170139313,0.0008725263178348541,1.691021203994751,1.5367965698242188,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,14.54190444946289,6.621029853820801,3.578784465789795,3.0247275829315186
aht,benchmarking_sar_mods,nga,0.013,20260421,1.7699080824401008,33.578835731598296,0.9932926893234253,31.30152115154065,19.773630142211914,0.9889891147613525,0.3073872923851013,0.0007130136364139616,1.7075669765472412,1.577312707901001,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,47.2806396484375,16.957117080688477,7.960853576660156,6.964015007019043
aht,benchmarking_sar_mods,nga,0.025,20260421,2.0420962474385247,34.489621167115374,0.9959713220596313,32.34960228036127,21.49588966369629,0.9924925565719604,0.25645285844802856,0.0006126377265900373,1.692260980606079,1.664553165435791,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,126.33164978027344,40.639522552490234,16.461450576782227,22.441186904907227
aht,benchmarking_sar_mods,nga,0.0483,20260421,2.293094360813367,35.083204702499195,0.9971617460250854,33.04781190968579,22.94513511657715,0.9943404793739319,0.20198126137256622,0.0005624843179248273,1.7005372047424316,1.733924150466919,18.9395,10.4795,8.46,10.0,0.4795,6.64,1.82,3501266,304.4162902832031,85.56299591064453,36.89035415649414,56.514198303222656
sar-pact,g8_alpha0.01,sandia,0.0625,20260504,0.00010516826923076924,20.46073693810414,0.8740435838699341,14.967937188305605,1.6740025281906128,0.3953379988670349,3.1181180477142334,0.009994585998356342,0.5183358192443848,0.22783303260803223,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,0.0004301849694456905,1.0452278729644604e-05,4.106182416308002e-07,3.5666264608380516e-08
sar-pact,g8_alpha0.01,sandia,0.125,20260504,0.35171649639423075,26.657599280271445,0.9419089555740356,23.818744832305452,7.048324108123779,0.885094165802002,1.1914424896240234,0.0016369392396882176,0.5153374671936035,0.2517971992492676,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,0.47142353653907776,0.17244762182235718,0.05076226964592934,0.010837121866643429
sar-pact,g8_alpha0.01,sandia,0.25,20260504,0.6991173377403846,29.930345678326667,0.9638333320617676,27.120503752844172,9.718096733093262,0.9489554762840271,0.8923464417457581,0.0007279518758878112,0.6145579814910889,0.27111053466796875,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,1.6594398021697998,0.5747129321098328,0.22353391349315643,0.07085920125246048
sar-pact,g8_alpha0.01,sandia,0.5,20260504,1.1682767427884615,32.59490534072831,0.9756572246551514,29.74816859897167,12.712051391601562,0.9780651926994324,0.6259128451347351,0.00045766273979097605,0.5220785140991211,0.288419246673584,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,5.33642053604126,1.7526013851165771,0.5680907964706421,0.23799382150173187
sar-pact,g8_alpha0.01,sandia,1.3125,20260504,1.8109149639423077,34.51077559960844,0.9811990261077881,31.66067414187998,15.70267105102539,0.990835964679718,0.4479568302631378,0.00034924159990623593,0.5218737125396729,0.3046727180480957,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,25.17584800720215,6.807103157043457,2.3395028114318848,5.712932586669922
sar-pact,g8_alpha0.01,sandia,2.25,20260505,2.1168118990384617,34.9800020647391,0.9826911091804504,32.14861757866848,16.58782958984375,0.9930294156074524,0.4048265814781189,0.0003172124270349741,0.7270739078521729,0.4010481834411621,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,51.957420349121094,13.050180435180664,4.991492748260498,11.660115242004395
