arch,model,lmbda,test_date,bpp,psnr_iq,msssim_iq,psnr_amp,sqnr_amp,msssim_amp,mae_phase,mse_nrcs,enc_time,dec_time,total_kmac_per_px,enc_kmac_per_px,dec_kmac_per_px,ga_kmac_per_px,ha_kmac_per_px,gs_kmac_per_px,hs_kmac_per_px,total_params,energy_1,energy_2,energy_3,energy_4
PACTtest,g1alpha1.0,0.0033,20260401,1.43035888671875,29.875238361823403,0.9831942319869995,27.35397121773906,17.50006675720215,0.9758198857307434,0.3553558886051178,0.0015957602299749851,0.32365846633911133,0.08406591415405273,21.6045,11.2345,10.37,10.755,0.4795,8.55,1.82,3856556,7.277929782867432,3.731977939605713,2.19745135307312,0.5600160956382751
PACTtest,g1alpha1.0,0.0067,20260331,1.882080078125,32.66922990596108,0.9937598705291748,30.26921525340846,21.36924934387207,0.9900921583175659,0.22531037032604218,0.0010847635567188263,0.3153831958770752,0.08736777305603027,21.6045,11.2345,10.37,10.755,0.4795,8.55,1.82,3856556,23.44806480407715,10.5883207321167,6.613780498504639,1.3875303268432617
PACTtest,g1alpha1.0,0.01,20260401,2.1328887939453125,34.043008188890845,0.9961603879928589,31.75062908223544,23.444744110107422,0.9938169121742249,0.17892234027385712,0.0008513734210282564,0.36695003509521484,0.08875727653503418,21.6045,11.2345,10.37,10.755,0.4795,8.55,1.82,3856556,47.6622200012207,19.9963321685791,10.694724082946777,3.0659122467041016
PACTtest,g2alpha1.0,0.0067,20260331,1.87646484375,32.72799632908726,0.9936425685882568,30.34094781475797,21.303640365600586,0.9900343418121338,0.2268197238445282,0.00102460035122931,0.3168978691101074,0.09551095962524414,20.8845,10.5145,10.37,10.035,0.4795,8.55,1.82,3845036,23.477323532104492,10.894302368164062,6.262088298797607,1.3648093938827515
PACTtest,g4alpha1.0,0.0067,20260331,1.8816070556640625,32.57481067480614,0.9936619997024536,30.230590997170587,21.37659454345703,0.9902889132499695,0.2267327457666397,0.0010944078676402569,0.3198201656341553,0.08842277526855469,20.5245,10.1545,10.37,9.675,0.4795,8.55,1.82,3839276,22.581960678100586,10.659967422485352,6.76715087890625,1.3044198751449585
PACTtest,g8alpha1.0,0.0067,20260331,1.8853302001953125,32.74635752315065,0.9937368035316467,30.359183634799415,21.38991928100586,0.9901814460754395,0.22707167267799377,0.0010373714612796903,0.3250751495361328,0.08793807029724121,20.3445,9.9745,10.37,9.495,0.4795,8.55,1.82,3836396,23.3326416015625,10.7722806930542,6.598641872406006,1.5093363523483276
PACTtest,g16alpha1.0,0.0067,20260331,1.8892364501953125,32.6954448640455,0.9937057495117188,30.330721516317674,21.365020751953125,0.9901677966117859,0.22837507724761963,0.0010410657851025462,0.32070350646972656,0.09530854225158691,20.2545,9.8845,10.37,9.405,0.4795,8.55,1.82,3834956,23.830551147460938,11.127927780151367,6.325531482696533,1.7336632013320923
PACTtest,g32alpha1.0,0.0033,20260401,1.428924560546875,29.58709917171433,0.9828356504440308,27.099394737398733,17.34013557434082,0.975252628326416,0.359774112701416,0.0017563346773386002,0.34235429763793945,0.10890936851501465,20.2095,9.8395,10.37,9.36,0.4795,8.55,1.82,3834236,6.7659220695495605,3.5837478637695312,2.2194294929504395,0.5110662579536438
PACTtest,g32alpha1.0,0.0067,20260331,1.8869171142578125,32.56833124951594,0.9935293793678284,30.20612849001273,21.26036834716797,0.9898596405982971,0.22765836119651794,0.0010795133421197534,0.3315412998199463,0.0871284008026123,20.2095,9.8395,10.37,9.36,0.4795,8.55,1.82,3834236,23.422311782836914,10.926121711730957,6.193694114685059,1.8658405542373657
PACTtest,g32alpha1.0,0.01,20260401,2.134979248046875,34.17748574152146,0.9961512684822083,31.872232494755654,23.35552215576172,0.9939135313034058,0.18093138933181763,0.0007929342100396752,0.3266427516937256,0.08894491195678711,20.2095,9.8395,10.37,9.36,0.4795,8.55,1.82,3834236,43.66093826293945,19.486013412475586,11.005887031555176,3.1764512062072754
